year,month,day,site,ipa,secchi_depth_m,do_mg_l,salinity_ppm,temperature,notes
2021,4,9,EDG,Natural,5,3.6,28,9.2,NA
2021,4,9,EDG,Restored,5.1,3.9,28.18,9.3,NA
2021,4,9,EDG,Armored,4.75,4,28.18,10.8,NA
2021,4,12,DOK,Natural,2,4.2,28.83,8.2,NA
2021,4,12,DOK,Restored,1,3.9,29.01,9,NA
2021,4,12,DOK,Armored,2,4.44,28.88,9,NA
2021,4,13,COR,Natural,3.75,5.8,28.7,8.6,NA
2021,4,13,COR,Restored,3,6.34,29.12,8.6,NA
2021,4,13,COR,Armored,3.5,6.6,28.2,8.8,NA
2021,4,15,SHR,Restored,7,3.9,28.9,8.8,NA
2021,4,15,SHR,Armored,7,3.96,29.1,8.8,NA
2021,4,15,SHR,Natural,6,4.5,29.1,8.9,NA
2021,4,28,FAM,Restored,2.2,5,30.6,10.3,NA
2021,4,28,FAM,Natural,2.75,5,30.5,9.6,NA
2021,4,28,FAM,Armored,2.5,5,31.5,11,NA
2021,4,28,TUR,Natural,4.8,5.09,30.46,8.9,NA
2021,4,28,TUR,Restored,4.7,6,30,8.7,NA
2021,4,28,TUR,Armored,5.8,5.8,34.8,8.8,NA
2021,5,5,FAM,Restored,2.25,NA,NA,10.99,Only Minnow Garmin temp data here - forgot YSI
2021,5,5,FAM,Natural,1.25,NA,NA,11.7,NA
2021,5,5,FAM,Armored,1.1,NA,NA,12.35,NA
2021,5,5,TUR,Restored,8.5,NA,NA,8,NA
2021,5,5,TUR,Natural,7,NA,NA,7.8,NA
2021,5,5,TUR,Armored,6.1,NA,NA,7.8,NA
2021,5,7,COR,Restored,10,4.61,29.37,10.3,NA
2021,5,7,COR,Natural,2.5,4.8,29.4,9.8,NA
2021,5,7,COR,Armored,2.5,6,29.24,9.4,NA
2021,5,11,EDG,Natural,6.5,4.78,30.8,12.1,NA
2021,5,11,EDG,Armored,8,4.33,31.62,13.45,NA
2021,5,11,EDG,Restored,8.5,4.56,31.25,12.9,NA
2021,5,13,DOK,Natural,3.5,5.5,31.5,12.9,NA
2021,5,13,DOK,Restored,2.1,4.61,31.77,13.1,NA
2021,5,13,DOK,Armored,3.75,5.76,31.81,13.1,NA
2021,5,13,SHR,Restored,6.75,4.6,30.32,10.4,NA
2021,5,13,SHR,Armored,6.8,4.8,30.85,10.2,NA
2021,5,13,SHR,Natural,6.75,4.72,30.36,10.4,NA
2021,6,7,EDG,Natural,4.5,5.3,31.01,12.9,NA
2021,6,7,EDG,Restored,6.5,6.1,31.6,13.4,NA
2021,6,7,EDG,Armored,6.5,6.22,31.74,13.5,NA
2021,6,7,PR,Restored,4.5,5.8,31.21,12,NA
2021,6,7,PR,Armored,12,5,31.46,12.4,NA
2021,6,7,PR,Natural,8,5.4,31.1,11.1,NA
2021,6,18,FAM,Natural,2.5,6.87,27.9,12.7,NA
2021,6,18,FAM,Armored,3,5.8,27.6,14.8,NA
2021,6,18,FAM,Restored,3,5.75,27.8,14.1,NA
2021,6,18,TUR,Natural,7,4.9,27.9,10.2,NA
2021,6,18,TUR,Armored,6.5,5.26,26.5,10.2,NA
2021,6,18,TUR,Restored,6,4.96,27.8,10.5,NA
2021,6,21,TL,Restored,2.25,7.3,39.79,16.4,NA
2021,6,21,TL,Armored,2,6.77,26,16.3,NA
2021,6,21,TL,Natural,2.25,6.68,26.7,16.1,NA
2021,6,21,LL,Restored,2.25,7.3,39.79,16.4,NA
2021,6,21,LL,Armored,2,6.77,26,16.3,NA
2021,6,21,LL,Natural,2.25,6.68,26,16.1,NA
2021,6,23,DOK,Natural,1.75,10.2,24.4,18.2,NA
2021,6,23,DOK,Armored,1.75,11.7,24.4,18,NA
2021,6,23,DOK,Restored,1.75,11.4,24.6,18.3,NA
2021,6,23,SHR,Natural,1.25,12.08,40.65,14.2,NA
2021,6,23,SHR,Armored,1.75,13.05,40.57,14.4,NA
2021,6,23,SHR,Restored,1.5,12.19,40.59,14.4,NA
2021,7,1,MAY,Restored,1.1,9.95,11.3,16.1,NA
2021,7,1,MAY,Natural,1.2,9.9,12.7,16.1,NA
2021,7,13,DOK,Natural,3.5,9.79,25.5,19.4,NA
2021,7,13,DOK,Armored,4,9.2,25.6,19.3,NA
2021,7,13,DOK,Restored,4,9.13,25.7,19.4,NA
2021,7,13,SHR,Restored,2,10.03,26.1,15,NA
2021,7,13,SHR,Armored,3,10.92,26.3,15.1,NA
2021,7,13,SHR,Natural,1.75,10.77,26.3,15.9,NA
2021,7,14,COR,Natural,2,8.26,25.7,11.8,NA
2021,7,14,COR,Restored,2.5,8.04,40.25,12,NA
2021,7,14,COR,Armored,2.5,8.1,25.6,12.1,NA
2021,7,20,FAM,Armored,5,12.9,27.2,12.9,NA
2021,7,20,FAM,Restored,3.5,12.13,27,14.6,NA
2021,7,20,FAM,Natural,5,11.45,27,15.7,NA
2021,7,20,TUR,Armored,6,6.69,27.3,10.9,NA
2021,7,20,TUR,Natural,6,7.42,27.6,10.9,secchi hit bottom
2021,7,20,TUR,Restored,6,7.15,27.6,11,NA
2021,8,10,EDG,Armored,5,7.65,26.5,15.7,NA
2021,8,10,EDG,Restored,5,8.59,26.7,15.7,NA
2021,8,10,EDG,Natural,5.5,8.86,26.6,15.9,NA
2021,8,12,TUR,Natural,5,6.01,27.6,11.5,NA
2021,8,12,TUR,Restored,6,5.84,27.6,11.5,NA
2021,8,12,TUR,Armored,4,6.63,27.1,12.1,NA
2021,8,12,FAM,Armored,2.5,9.05,27.1,13.2,NA
2021,8,12,FAM,Natural,2,13.65,27.3,14.9,NA
2021,8,12,FAM,Restored,1.5,12.35,27.1,14.8,NA
2021,8,19,COR,Armored,4,5.82,42.13,11.8,NA
2021,8,19,COR,Restored,2,6.5,41.6,12.3,NA
2021,8,19,COR,Natural,3.5,6.15,42.35,12.1,NA
2021,8,24,SHR,Natural,6.5,7.98,42.08,14.1,"we forgot the secchi measurement at first, went back after sampling the restored site at ~11am"
2021,8,24,SHR,Restored,6.5,5.6,41.04,15.3,NA
2021,8,24,DOK,Natural,2.3,10.63,41.83,16.6,NA
2021,8,24,DOK,Restored,2,10.73,41.8,17.2,NA
2021,8,24,DOK,Armored,2.9,10.45,41.85,17.2,NA
2022,4,6,EDG,Natural,4.75,11.01,24.5,9.7,NA
2022,4,6,EDG,Restored,4.5,10.8,27.1,9.7,NA
2022,4,6,EDG,Armored,4,11.25,27.2,9.9,NA
2022,4,7,DOK,Natural,3.75,13.76,27.6,10.9,NA
2022,4,7,DOK,Armored,4,13.33,28.4,11.5,NA
2022,4,7,DOK,Restored,4,13.3,28.3,11.5,NA
2022,4,7,SHR,Restored,11,9.05,29.1,10.6,NA
2022,4,7,SHR,Armored,11.5,8.87,29.2,10.7,NA
2022,4,7,SHR,Natural,9.5,9.11,29.3,10.7,NA
2022,4,18,COR,Restored,2,8.47,28.5,8.7,NA
2022,4,18,COR,Natural,2,8.6,27.9,8.7,NA
2022,4,18,COR,Armored,2.25,8.66,27.6,8.7,NA
2022,4,18,FAM,Armored,2.5,9.91,30.4,8.7,NA
2022,4,18,FAM,Natural,2.75,10.26,30.4,8.6,NA
2022,4,18,FAM,Restored,3.75,9.55,30.5,8.6,NA
2022,4,19,TUR,Natural,4.25,7.89,31,8.2,NA
2022,4,19,TUR,Restored,5.75,7.63,30.9,8.2,NA
2022,4,19,TUR,Armored,6,8.2,30.9,8.3,NA
2022,5,2,DOK,Natural,3,13.48,28.2,13.7,NA
2022,5,2,DOK,Armored,3.5,12.77,28.1,13.7,NA
2022,5,2,DOK,Restored,3,13.35,28.2,13.9,NA
2022,5,2,SHR,Natural,3.25,11.65,29.3,10.3,NA
2022,5,2,SHR,Armored,4,12.26,29.3,10.3,NA
2022,5,2,SHR,Restored,2.75,12.46,29.4,10.3,NA
2022,5,6,EDG,Armored,3.5,11.51,25.8,10.7,NA
2022,5,6,EDG,Natural,4.5,11.68,27.9,10.6,NA
2022,5,6,EDG,Restored,4,12.43,27.4,11.2,NA
2022,5,13,FAM,Natural,2.25,12.4,29.8,10.4,NA
2022,5,13,FAM,Restored,2,11.2,30.8,10.1,NA
2022,5,13,FAM,Armored,2.25,13.02,30.7,11.1,NA
2022,5,13,TUR,Armored,7,8.12,31.1,9.1,NA
2022,5,13,TUR,Restored,7.25,7.87,31.1,9,NA
2022,5,13,TUR,Natural,NA,8.16,31.1,9.1,NA
2022,5,26,COR,Armored,3.5,8.74,29.5,9.8,NA
2022,5,26,COR,Natural,3.25,8.91,28.8,10.1,NA
2022,5,26,COR,Restored,3.5,8.4,29.3,10.4,NA
2022,6,2,SHR,Restored,7,10.33,29.1,10.8,NA
2022,6,2,SHR,Armored,6.5,10.38,29,11.1,NA
2022,6,2,SHR,Natural,7,10.32,28.9,11.4,NA
2022,6,2,DOK,Restored,3.25,12.31,28,15,NA
2022,6,2,DOK,Armored,3,12,27.8,15.1,NA
2022,6,2,DOK,Natural,2,12.81,27.8,14.8,NA
2022,6,3,EDG,Natural,3.1,10.01,27.5,15.5,NA
2022,6,3,EDG,Armored,3,10.6,26.8,14.5,NA
2022,6,3,EDG,Restored,3.75,10.5,27.9,14.1,NA
2022,6,3,PR,Armored,3.5,13.9,28.8,13.9,NA
2022,6,3,PR,Natural,1.75,12.4,29.2,11.6,NA
2022,6,3,PR,Restored,4,13.6,29,11.8,NA
2022,6,7,TL,Restored,6,9.44,28.8,10.8,NA
2022,6,7,TL,Natural,7,10.08,29,11,NA
2022,6,7,TL,Armored,5,10.02,28.7,11,NA
2022,6,7,LL,Natural,1.3,12.57,20.3,15.9,NA
2022,6,7,LL,Restored,1.9,12.48,23,16.8,NA
2022,6,7,LL,Armored,1.5,12.55,24.5,16.7,NA
2022,6,9,TUR,Natural,5.75,7.08,30.4,9.6,NA
2022,6,9,TUR,Restored,6.5,7.26,30.8,9.6,NA
2022,6,9,TUR,Armored,6.33,7.27,30.8,9.6,NA
2022,6,9,FAM,Restored,2.9,13.97,29.7,12.6,NA
2022,6,9,FAM,Armored,2.25,9.99,29.9,11.9,NA
2022,6,9,FAM,Natural,2.5,9.74,30.2,10.9,NA
2022,6,10,COR,Armored,1.75,8.4,19.5,11,NA
2022,6,10,COR,Restored,1.75,8.74,19.5,11.2,NA
2022,6,10,COR,Natural,2.5,7.9,23.9,10.6,NA
2022,6,10,MA,Natural,3.25,10.31,16.4,14.2,NA
2022,6,10,MA,Restored,2,10.42,16,14.4,NA
2022,6,10,MA,Armored,2,10.83,16.7,14.5,NA
2022,6,20,WA,Natural,4,10.75,14.2,15.2,NA
2022,6,20,WA,Restored,1.75,10.7,14,15.6,NA
2022,6,20,WA,Armored,2.25,11.3,14.6,15,NA
2022,6,20,HO,Natural,2.5,11.1,16.5,14.7,NA
2022,6,20,HO,Armored,2.25,13.8,19.9,13.5,NA
2022,6,20,HO,Restored,2.5,11.54,15.7,15.2,NA
2022,7,7,FAM,Restored,5.75,7.5,30,12.9,NA
2022,7,7,FAM,Natural,6.5,7.7,30,11.6,NA
2022,7,7,FAM,Armored,6,7.4,29.9,13,NA
2022,7,7,TUR,Natural,6,7.39,29.6,11.1,NA
2022,7,7,TUR,Restored,7.25,7.64,29.7,11.2,NA
2022,7,7,TUR,Armored,6.5,7.46,29.7,11,NA
2022,7,8,COR,Restored,4,6.15,29.9,10.3,NA
2022,7,8,COR,Natural,4,6.3,29.3,10.8,NA
2022,7,8,COR,Armored,5,6.2,29.8,10.4,NA
2022,7,15,EDG,Natural,3.5,10.64,28.6,15.3,NA
2022,7,15,EDG,Restored,4.25,11.67,28.6,15.9,NA
2022,7,15,EDG,Armored,4,11.76,28.6,16.2,NA
2022,7,18,SHR,Restored,3.25,NA,NA,12,YSI left in the truck bed
2022,7,18,SHR,Armored,4,NA,NA,NA,YSI left in the truck bed
2022,7,18,SHR,Natural,3.5,NA,NA,12.2,YSI left in the truck bed
2022,7,18,DOK,Natural,6.5,NA,NA,NA,YSI left in the truck bed
2022,7,18,DOK,Armored,5.75,NA,NA,NA,YSI left in the truck bed
2022,7,18,DOK,Restored,NA,NA,NA,NA,"YSI left in the truck bed, secchi hit bottom at 20 ft depth"
2022,8,9,EDG,Natural,2,11.4,28.5,16.7,NA
2022,8,9,EDG,Restored,3.2,10.16,28.9,16.1,NA
2022,8,9,EDG,Armored,4,10.43,28,16.1,NA
2022,8,12,SHR,Restored,6.25,8.32,29.3,13.3,NA
2022,8,12,SHR,Armored,6.5,8.72,29.4,13.3,NA
2022,8,12,SHR,Natural,7,8.45,29.5,13.4,NA
2022,8,12,DOK,Restored,4.5,9.5,29,17.8,NA
2022,8,12,DOK,Armored,4.25,9.8,28.8,18.3,NA
2022,8,12,DOK,Natural,4.25,8.68,28.8,18.8,NA
2022,8,15,FAM,Armored,5,6.15,29.2,12.1,NA
2022,8,15,FAM,Natural,5,6.45,29.7,12,NA
2022,8,15,FAM,Restored,6,6.22,29.8,12.2,NA
2022,8,15,TUR,Armored,7.5,7.3,30.4,11.3,NA
2022,8,15,TUR,Restored,7.5,7.2,30.5,11.1,NA
2022,8,15,TUR,Natural,6.5,5.53,30.6,10.8,NA
2022,8,16,COR,Armored,2.5,6.7,28.9,11.8,NA
2022,8,16,COR,Natural,2.5,6.2,29,11.9,NA
2022,8,16,COR,Restored,2.25,6.8,29.2,12.1,NA
2022,9,8,EDG,Natural,6,8.77,28.9,16,NA
2022,9,8,EDG,Restored,5.8,8.26,29.4,15.3,NA
2022,9,8,EDG,Armored,5.5,8.16,29.4,15.4,NA
2022,9,12,COR,Restored,2.5,6.21,30.1,11.7,NA
2022,9,12,COR,Natural,2.5,6.74,29.8,11.6,NA
2022,9,12,COR,Armored,2,6.35,29.5,11.6,NA
2022,9,12,FAM,Natural,3.5,10.47,30.2,13.2,NA
2022,9,12,FAM,Restored,3.5,11.23,29.8,13.7,NA
2022,9,12,FAM,Armored,3.5,12.7,29.7,14.2,NA
2022,9,13,TUR,Natural,5.75,6.02,30.7,11,NA
2022,9,13,TUR,Restored,7,6.23,30.8,11,NA
2022,9,13,TUR,Armored,7,6.71,30.7,11.1,NA
2022,9,23,SHR,Restored,3.75,9.2,29.7,13.4,NA
2022,9,23,SHR,Armored,4.25,9.87,30.1,13.4,NA
2022,9,23,SHR,Natural,3.75,10.2,30.1,13.5,NA
2022,9,23,DOK,Natural,3,13.1,29.7,14.8,NA
2022,9,23,DOK,Armored,2.5,12.8,29.7,14.8,NA
2022,9,23,DOK,Restored,2.5,13.13,29.8,15,NA
